title,link
"광주광역시 동구, 인공지능 돌봄로봇 ‘효돌이’ 보급",http://www.sportsseoul.com/news/read/942543?ref=naver
"'2045년 에너지 자립 선언' 광주시, 에너지 영향 평가 도입",http://yna.kr/AKR20200803062600054?did=1195m
"이용섭 광주시장, 8월 정례조회…부동산 투기·불법거래 단속 강화(전문)",http://www.namdonews.com/news/articleView.html?idxno=579823
광주 최초 인공지능 돌봄로봇 ‘효돌이’,http://www.ekn.kr/news/article.html?no=514913
"광주시, 3개 업체와 '인공지능 비즈니스 기반 조성' 협약",https://www.jnilbo.com/view/media/view?code=2020080214454797238
LG전자-광주과학기술원 인공지능 분야 업무협약 체결,http://www.speconomy.com/news/newsview.php?ncode=1065590656599845
광주형 인공지능 비즈니스 23~25번째 업무협약,https://www.nocutnews.co.kr/news/5387733
광주 동구 인공지능 돌봄로봇 '효돌이' 보급,http://www.newspim.com/news/view/20200731000654
"광주시, AI 기반 조성 유치 기업과 업무협약",http://yna.kr/AKR20200731092300054?did=1195m
"지스트, LG전자와 인공지능 분야 업무협약",http://www.newsmaker.or.kr/news/articleView.html?idxno=103446
광주 인공지능 종합지원센터 개소,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_02&menuId=56_65_73&nwid=360819
남도일보가 만난 사람-김용집 제8대 후반기 광주시의회 의장,http://www.namdonews.com/news/articleView.html?idxno=579797
광주관광재단 30일 출범,https://www.nocutnews.co.kr/news/5387217
"한국과총 광주·전남연합회, 'AI 기반 에너지산업 온·오프라인 포럼' 개최",http://www.etnews.com/20200803000106
"광주 동구청, 인공지능 돌봄로봇 '효돌이' 보급",http://www.sisamagazine.co.kr/news/articleView.html?idxno=326579
"광주, 인공지능 기업에 원스톱 서비스 지원",http://www.newsrep.co.kr/news/articleView.html?idxno=137006
복합스마트호텔 '광주 유탑 부티크 호텔 & 레지던스' 개관,https://www.jnilbo.com/view/media/view?code=2020080214240634726
"이용섭 광주광역시장, 5일 인공지능 조찬 포럼 참석",http://www.aitimes.com/news/articleView.html?idxno=131198
광주 동구 인공지능 돌봄로봇 '효돌이' 보급,http://www.newspim.com/news/view/20200731000654
"광주시, 1000만 관광도시 도약한다",http://www.betanews.net:8080/article/1215555.html
코로나19 여파에도 인공지능 사업 ‘착착’,http://news.kbs.co.kr/news/view.do?ncd=4506654&ref=A
"광주시-SAP코리아, AI스타트업 혁신생태계 협력",http://www.etnews.com/20200726000050
2021광주디자인비엔날레 총감독에 김현선 씨,http://yna.kr/AKR20200727139900054?did=1195m
"티맥스AI, 지능정보산업협회 가입",https://zdnet.co.kr/view/?no=20200727095541
"광주시·SAP코리아, 인공지능 비즈니스 기반 조성 협력",http://yna.kr/AKR20200724087000054?did=1195m
국내 1호 인공지능 시범도시 건설 'AI 광주 시대' 열린다,https://www.hankyung.com/society/article/2020072709971
복합스마트호텔 ‘광주 유탑 부티크 호텔&레지던스’ 개관식 개최,http://realestate.joins.com/article/article.asp?pno=141026&ref=naver
"티맥스AI ""인공지능 사업 기반 마련 가속화""…'토탈AI' 개발한다",http://www.bloter.net/archives/397579
"광주 동구, 인공지능 돌봄로봇 '효돌이' 보급",http://www.enewstoday.co.kr/news/articleView.html?idxno=1404681
광주 인공지능 종합지원센터 개소,https://www.news1.kr/photos/view/?4315506
광주광역시서 인공지능 로봇 시연회 개최,http://www.newsprime.co.kr/news/article.html?no=512735
"SKT, 코로나19 대응 돕는 '누구 케어콜' 광주 서구 지원",http://www.fnnews.com/news/202007291044045836
광주-전남 지역혁신 플랫폼 포럼 성황리 마쳐,http://www.aitimes.com/news/articleView.html?idxno=131088
"광주광역시, ㈜피티지·㈜벤텍프런티어 투자협약 체결",http://www.sportsseoul.com/news/read/942013?ref=naver
"SAP코리아, 광주시와 인공지능 산업 육성 업무 제휴",http://www.digitaltoday.co.kr/news/articleView.html?idxno=242503
"광주광역시, 광주형 뉴딜 이끌 우수벤처기업과 투자협약",http://www.fnnews.com/news/202007301302539390
"SAP 코리아, 광주시와 인공지능 산업 육성 업무협약",http://news.mk.co.kr/newsRead.php?no=759728&year=2020
2021광주디자인비엔날레 총감독에 김현선씨,http://www.namdonews.com/news/articleView.html?idxno=579192
2021광주디자인비엔날레 총감독에 전시진행전문가 김현선씨 위촉,https://www.news1.kr/articles/?4008365
"광주관광재단 30일 출범…대표이사, 1실3팀25명으로 구성",http://www.startuptoday.co.kr/news/articleView.html?idxno=49334
"광주시, 2021광주디자인비엔날레 총감독 전시 전문가 김현선 씨 위촉",http://www.enewstoday.co.kr/news/articleView.html?idxno=1403518
"티맥스AI, 지능정보산업협회 가입…""AI사업 본격화""",http://www.edaily.co.kr/news/newspath.asp?newsid=03735926625838784
"광주광역시, 무인저속특장차 실증·상용화 시동 걸었다",http://www.fnnews.com/news/202007281403141917
"광주시·SAP코리아, AI 산업 육성 협력 MOU",http://www.datanet.co.kr/news/articleView.html?idxno=148770
인공지능 기업 광주행 가속도 붙었다,http://www.bzeronews.com/news/articleView.html?idxno=449402
"티맥스 AI, 과기부 산하 지능정보산업협회 가입",http://www.epnc.co.kr/news/articleView.html?idxno=100726
"""디자인은 국제경쟁력, 광주행사 의미 살리겠다""",http://www.honam.co.kr/detail/EHdc4G/609562
광주형 뉴딜 이끌 우수벤처기업 광주에 온다,http://www.jndn.com/article.php?aid=1596102983304068001
인공지능 기업 ‘광주행’ 가속도 붙었다,http://www.jndn.com/article.php?aid=1595414088303756001
인공지능 기업 광주행 가속도,http://www.newsrep.co.kr/news/articleView.html?idxno=135560
SKT의 코로나19 대응 AI시스템 '누구 케어콜'…광주 서구에도 뜬다,https://www.news1.kr/articles/?4009955
"""AI스타트업 혁신생태계 조성"" 광주시-SAP코리아 업무협약",https://www.news1.kr/articles/?4006183
"광주시, 2021광주디자인비엔날레 총감독 위촉",http://www.betanews.net:8080/article/1213341.html
"이용섭 광주시장, 2021광주디자인비엔날레 김현선 총감독 위촉",https://www.wikitree.co.kr/articles/556305
창업 지원·보육에 주거까지…광주역에 '스타트업 파크' 조성,http://yna.kr/AKR20200728045700054?did=1195m
"광주시, 무인저속특장차 실증·상용화 '시동'",http://www.jndn.com/article.php?aid=1595929512303947001
"SKT, '누구 케어콜' 지원 지역 확대...광주 서구청과도 협력",http://www.digitaltoday.co.kr/news/articleView.html?idxno=242942
광주관광재단 출범… 1000만 관광도시 도약 견인,http://moneys.mt.co.kr/news/mwView.php?no=2020073014488086589
"""AI 생태계 조성 나선다"" 티맥스AI, 지능정보산업협회 가입",http://daily.hankooki.com/lpage/ittech/202007/dh20200727150015138240.htm?s_ref=nv
"SKT, 경남 이어 광주에 '누구 케어콜' 도입…방역지원 박차",https://www.ebn.co.kr/news/view/1444500/?sc=Naver
광주시-더불어민주당 예산정책협의회 개최,http://www.newspim.com/news/view/20200723000931
초대형 '데이터센터' 짓는 광주…'인공지능 강국' 이끈다,https://www.hankyung.com/society/article/2020072710061
"티맥스AI, 지능정보산업협회 가입…“AI 비즈니스 초석 다진다”",http://www.ceoscoredaily.com/news/article.html?no=71810
"광주시-SAP코리아, 'AI스타트업 혁신생태계' 협력",http://www.newsworker.co.kr/news/articleView.html?idxno=79270
"이용섭 시장 ""인공지능 생태계 조성해 성공적 비즈니스 모델 만들 것""",http://www.newsfreezone.co.kr/news/articleView.html?idxno=248579
"SKT '누구 케어콜' 광주 서구로 확대…""코로나19 방역 대응""",http://www.sentv.co.kr/news/view/576914
"이성열 SAP코리아 대표 ""광주시와 AI 생태계 조성 협력""",https://www.ebn.co.kr/news/view/1444009/?sc=Naver
"광주광역시, 더불어민주당 지도부와 예산정책협의회 개최",http://www.sportsseoul.com/news/read/939558?ref=naver
"광주시, 5개 업체와 '인공지능 비즈니스 기반 조성' 업무협약 체결",http://www.enewstoday.co.kr/news/articleView.html?idxno=1402466
열화상 카메라 대체할 인공지능 로봇?,http://yna.kr/PYH20200730165000054?did=1196m
"광주시, SAP코리아와 인공지능 비즈니스 기반 조성 업무협약 체결",http://www.startuptoday.co.kr/news/articleView.html?idxno=48594
조선대와 광주 남구 인공지능 평생교육 호응,http://news.kmib.co.kr/article/view.asp?arcid=0014842355&code=61121111&cp=nv
"광주시, 무인저속특장차 실증·상용화 시동 걸었다",http://www.newsworker.co.kr/news/articleView.html?idxno=79640
